Registro;Time;Best_Fitness_Promedio
362;2,869435477;22824670,14
363;5,581270766;22317864,15
364;3,662897015;21024564,92
365;3,71248033;21219268,34
366;3,594377494;22073465,6
367;3,685518837;23300927,62
368;4,963435531;21099347,84
369;2,82948122;22520192,62
370;2,838096476;22757322,58
371;2,868746138;23298402,5
372;7,751787472;22959256,56
373;3,598257947;21856258,41
374;3,674151373;21024214,35
375;2,832840276;22982654,44
376;3,626434445;23057315,49
377;3,704960012;22407321,83
378;7,693802905;23618426,09
379;3,731802607;22021452,38
380;2,821299219;22631551,02
381;3,634083986;22937882,19
382;3,649211121;21919804,83
383;3,687877083;22563573,41
384;2,809555459;23152619,98
385;3,611389208;22352649,29
386;3,651156092;21855112,35
387;2,810275745;22900863,67
388;3,690175176;23153506,93
389;2,842082238;21804104,66
390;2,858073211;21848422,02
391;3,650985312;20651259,74
392;2,820136189;22997585,09
393;3,654319143;22771873,2
394;5,023896241;18501425,02
395;3,62164495;16377882,33
