POBLACION_20DIAS_AJT,ContMalQui_Emer_Flor,TotP_Siem_Emer,TotP_Emer_Flor,FerQui_Emer_Flor,PENDIENTE_RASTA,PH_RASTA,PROFUND_RAICES_VIVAS_RASTA,Porc_Ar,Porc_AF,Porc_MUY_PLASTICO,Temp_Min_Avg_Veg,Diurnal_Range_Avg_Veg,Sol_Ener_Accu_Veg,Rain_Accu_Veg,Rhum_Avg_Veg,Temp_Max_Avg_For,Temp_Avg_For,Rhum_Avg_For,Temp_Max_Avg_Mad,Temp_Avg_Mad,MATERIAL_GENETICO_PAC 105,MATERIAL_GENETICO_PIONEER 30F35 HRR,METODO_COSECHA_Manual,METODO_COSECHA_Mecanizada,TERRENO_CIRCUN_RASTA_PLANO O LLANO,POSICION_PERFIL_RASTA_PLANO,OBSERVA_PLANTAS_PEQUENAS_RASTA_MUY AFECTADAS,OBSERVA_PLANTAS_PEQUENAS_RASTA_PLANTAS NORMALES,OBSERVA_PLANTAS_PEQUENAS_RASTA_POCO AFECTADAS,RDT_AJUSTADO
60000,1,0,0,1,1,6,34,30,0,0,23.81,10.09,15001.74,182.9,80.72,33.25,28.5,86.02,32.46,28.35,0,0,1,0,1,1,1,0,0,3202.33
72000,1,0,0,2,3,6,32,0,0,0,23.96,8.65,14397.48,268.6,82.58,33.82,29.2,79.71,35.03,29.52,0,0,0,1,1,1,0,1,0,4930.23
74000,2,7.5,0,4,4,6,33,0,0,0,24.47,8.61,15128.73,411.7,80.58,33.27,28.58,78.76,32.46,27.48,0,0,0,1,1,1,0,1,0,6232.56
65000,1,0,0,4,1,4.5,25,0,0,0,24.73,9.1,15505.82,118.3,79.27,33.99,29.2,80.25,33.38,28.96,0,0,1,0,1,1,0,1,0,4186.05
62000,1,0,0,2,2,6.5,13,0,0,0,24.53,8.78,15221.06,380.8,80.2,33.13,28.52,79.1,32.72,27.79,0,0,1,0,1,1,0,1,0,5651.16
71000,1,0,0,4,4,5.5,19,0,0,0,24.77,9.23,15588.59,104.6,78.77,33.86,29.08,80.52,33.37,29.01,0,0,0,1,1,1,0,1,0,5577.91
69000,1,0,15,4,2,6,28,100,0,0,24.45,8.86,15301.82,412.8,80.03,33.29,28.53,78.82,32.21,27.32,0,0,0,1,1,1,0,1,0,6466.28
75000,2,0,0,4,2.2,6.5,20,0,0,0,24.56,9,15314.59,145.1,79.89,34.19,29.33,79.87,33.24,28.89,0,0,0,1,1,1,0,0,1,5895.35
60000,1,0,0,2,2,6,-1,0,0,0,24.36,8.08,14753.41,183.6,81.58,32.57,28.17,80.36,32.17,27.92,0,0,1,0,1,1,0,1,0,5790.7
55000,1,0,0,2,2,6,11,0,0,0,24.8,7.16,14550.35,174,88.88,33.21,29.19,84.63,32.53,28.76,0,0,1,0,1,1,0,0,1,1158.14
62000,0,0,0,2,2,6,16,28.33,0,0,24.8,7.16,14550.35,174,88.88,33.21,29.19,84.63,32.29,28.64,0,0,1,0,1,1,0,1,0,4343.02
58000,1,0,0,2,3,5,36,0,0,0,24.39,8.91,15029.3,176.9,82.05,32.82,28.61,82.47,34.85,29.41,0,0,1,0,1,1,1,0,0,2412.79
60000,3,0,0,3,3,6,28,100,0,0,24.47,8.64,15224.75,414.8,80.5,33.26,28.56,78.88,32.32,27.38,0,0,0,1,1,1,0,1,0,7151.16
66000,1,0,0,2,2,6,24,0,0,0,24.18,8.93,15207.06,426.4,80,33.34,28.5,78.51,32.1,27.34,0,0,0,1,1,1,0,1,0,6769.77
75000,0,0,23,4,2,5,28,100,0,0,24.62,7.49,14710.63,166,80.53,33.32,28.93,78.48,32.49,28.04,0,0,1,0,1,1,0,1,0,3720.93
71000,2,15,0,2,4,5.5,18,0,0,0,24.18,8.93,15207.06,426.4,80,33.34,28.5,78.51,32.03,27.25,0,0,1,0,1,1,0,1,0,6046.51
58000,2,0,0,2,2,6,35,48.57,0,0,23.98,8.23,13824.92,269.6,83.35,33.41,28.63,79.3,34.41,29.02,0,0,1,0,1,1,0,1,0,3348.84
50000,1,0,15,1,2,6,12,43.33,0,0,25.06,7.46,13753.34,100.7,87.23,32.98,28.96,82.81,32.64,28.68,0,1,1,0,1,1,0,1,0,4576.74
