ID_EVENTO,Temp_Max_Avg_Veg,Temp_Min_Avg_Veg,Temp_Avg_Veg,Diurnal_Range_Avg_Veg,Sol_Ener_Accu_Veg,Temp_Max_34_Freq_Veg,Rain_Accu_Veg,Rain_10_Freq_Veg,Temp_Min_15_Freq_Veg,Rhum_Avg_Veg,Temp_Max_Avg_For,Temp_Min_Avg_For,Temp_Avg_For,Diurnal_Range_Avg_For,Sol_Ener_Accu_For,Temp_Max_34_Freq_For,Rain_Accu_For,Rain_10_Freq_For,Temp_Min_15_Freq_For,Rhum_Avg_For,Temp_Max_Avg_Mad,Temp_Min_Avg_Mad,Temp_Avg_Mad,Diurnal_Range_Avg_Mad,Sol_Ener_Accu_Mad,Temp_Max_34_Freq_Mad,Rain_Accu_Mad,Rain_10_Freq_Mad,Temp_Min_15_Freq_Mad,Rhum_Avg_Mad
823,32.16767744,24.695,28.43133872,7.472677443,14710.19704,0.125,168.7,0.1,0,80.35,33.30433141,24.52931034,28.91682088,8.775021068,22027.11303,0.379310345,315.1,0.137931034,0,78.5,32.77391304,23.76086957,28.2673913,9.013043478,8982.784789,0.173913043,109,0.130434783,0,79.91304348
824,31.87891236,24.52,28.19945618,7.358912364,14549.47379,0.075,196.7,0.15,0,80.7,33.51596795,24.45,28.98298398,9.065967952,22519.29722,0.379310345,313.7,0.120689655,0,78.29310345,32.39268293,23.75609756,28.07439024,8.636585366,15161.47949,0.146341463,250.7,0.195121951,0,81.17073171
825,32.965,24.85,28.9075,8.115,14356.96553,0.2,182.4,0.2,0,81.575,33.66896552,24.61760619,29.14328586,9.051359323,25748.99324,0.396551724,229.4,0.086206897,0,79.82758621,32.24516129,24.20462567,28.22489348,8.04053562,11954.70122,0.161290323,127.6,0.129032258,0,81.69759718
826,31.89718017,24.62,28.25859009,7.277180171,14456.12138,0.075,198.6,0.15,0,81.05,33.60146339,24.37758621,28.9895248,9.223877185,22617.81615,0.396551724,333.3,0.137931034,0,78.43103448,32.27931034,23.58275862,27.93103448,8.696551724,10827.11407,0.172413793,186.8,0.206896552,0,80.62068966
827,32.9841405,24.8641405,28.9241405,8.12,15658.81992,0.125,195,0.125,0,80.81909967,33.88965517,24.98616765,29.43791141,8.90348752,24106.05258,0.448275862,320.9,0.172413793,0,80.15517241,32.3245283,24.02803587,28.17628209,8.29649243,21190.84782,0.150943396,191,0.113207547,0,81.44576439
828,31.87891236,24.52,28.19945618,7.358912364,14549.47379,0.075,196.7,0.15,0,80.7,33.51596795,24.45,28.98298398,9.065967952,22519.29722,0.379310345,313.7,0.120689655,0,78.29310345,32.40294118,23.68529412,28.04411765,8.717647059,12711.67557,0.176470588,217.7,0.205882353,0,80.79411765
829,33.7375,24.5,29.11875,9.2375,14555.46067,0.425,196.7,0.15,0,80.45608306,34.57653611,24.16206897,29.36930254,10.41446715,22100.33386,0.655172414,202.4,0.086206897,0,79.66939469,32.58607363,22.895,27.74053681,9.691073627,15242.42198,0.25,164.5,0.1,0,83.48145343
830,32.16767744,24.695,28.43133872,7.472677443,14710.19704,0.125,168.7,0.1,0,80.35,33.30433141,24.52931034,28.91682088,8.775021068,22027.11303,0.379310345,315.1,0.137931034,0,78.5,32.70909091,23.58787879,28.14848485,9.121212121,12917.64586,0.181818182,191.2,0.212121212,0,80.18181818
834,31.89718017,24.62,28.25859009,7.277180171,14456.12138,0.075,198.6,0.15,0,81.05,33.60146339,24.37758621,28.9895248,9.223877185,22617.81615,0.396551724,333.3,0.137931034,0,78.43103448,32.26216216,23.7027027,27.98243243,8.559459459,13565.85986,0.135135135,199.4,0.162162162,0,80.81081081
835,33.82,24.27,29.045,9.55,14512.48446,0.55,163.3,0.125,0,80.56735118,34.47210413,23.97413793,29.22312103,10.4979662,22458.07971,0.603448276,213.9,0.068965517,0,80.17078386,32.1825,23.18,27.68125,9.0025,14723.72924,0.15,117.3,0.1,0,83.80524506
