ID_EVENTO,ID_LOTE,TIPO_SIEMBRA,SEM_TRATADAS,MATERIAL_GENETICO,CULT_ANT,DRENAJE,METODO_COSECHA,ALMACENAMIENTO_FINCA,AREA,RDT_AJUSTADO,DIAS_EN_EMERGER,DIAS_EN_EMERGER_A_FLORECER,DIAS_EN_FLORECER_A_COSECHAR,POBLACION_20DIAS_AJT,ALTURA_LOT,ContEnfQui_Antes_Siem,ContEnfQui_Siem_Eme,ContEnfQui_Emer_Flor,ContEnfQui_Flor_Cose,ContMalMec_Antes_Siem,ContMalMec_Siem_Emer,ContMalMec_Emer_Flor,ContMalMec_Flor_Cose,ContMalQui_Antes_Siem,ContMalQui_Siem_Emer,ContMalQui_Emer_Flor,ContMalQui_Flor_Cose,ContPlaQui_Antes_Siem,ContPlaQui_Siem_Emer,ContPlaQui_Emer_Flor,ContPlaQui_Flor_Cose,TotN_Antes_Siem,TotN_Siem_Emer,TotN_Emer_Flor,TotP_Antes_Siem,TotP_Siem_Emer,TotP_Emer_Flor,TotK_Antes_Siem,TotK_Siem_Emer,TotK_Emer_Flor,FerOrg_Antes_Siem,FerOrg_Siem_Emer,FerOrg_Emer_Flor,FerQui_Antes_Siem,FerQui_Siem_Emer,FerQui_Emer_Flor
823,699,Manual,SI,PAC 105,Algodón,SI,Manual,NO,1,3296.511628,6,45,69,62000,8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,3
824,700,Mecanizado,SI,DK 234,Algodón,SI,Mecanizada,NO,4.1,3490.697674,8,40,90,68000,7,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,115,0,0,0,0,0,30,0,0,0,0,0,4
825,701,Mecanizado,SI,PAC 105,Algodón,SI,Mecanizada,NO,5.9,3667.44186,7,39,82,60000,8,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,2
826,702,Manual,NO,PAC 105,Algodón,SI,Manual,NO,1,4238.372093,6,43,77,70000,9,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,46,46,0,0,0,0,0,0,0,0,0,0,1,1
827,703,Manual,SI,Otro,Algodón,SI,Manual,NO,2.3,4576.744186,6,44,100,64000,7,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0,0,0,115,0,0,0,0,0,30,0,0,0,0,0,4
828,704,Manual,SI,PAC 105,Algodón,SI,Manual,NO,1.3,4709.302326,5,43,83,66000,10,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,126.5,0,0,0,0,0,0,0,0,0,0,0,3
829,705,Manual,SI,PAC 105,Algodón,SI,Manual,NO,2,4576.744186,6,45,86,63000,8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,3
830,706,Mecanizado,SI,Otro,Algodón,SI,Mecanizada,NO,8,4053.488372,6,44,80,62500,9,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0,0,0,115,0,0,0,0,0,30,0,0,0,0,0,4
834,710,Manual,SI,PAC 105,Frijol,SI,Manual,NO,1,3711.627907,6,47,81,60000,8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,115,0,0,0,0,0,30,0,0,0,0,0,4
835,711,Mecanizado,SI,PIONEER 30F35,Maiz,SI,Mecanizada,NO,6.5,4050,5,46,86,66000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,3
836,712,Mecanizado,SI,Otro,Algodón,SI,Mecanizada,NO,8,4709.302326,5,45,83,63000,14,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,3
838,714,Mecanizado,SI,Otro,Maiz,SI,Manual,NO,3.3,4576.744186,7,43,71,64000,10,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,55,46,0,23,0,0,0,0,0,0,0,0,2,2
839,715,Manual,SI,PIONEER 30F35,Algodón,SI,Manual,NO,2,5308.139535,6,42,80,60000,12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,46,46,0,0,0,0,0,0,0,0,0,0,1,1
840,716,Mecanizado,NO,Otro,Algodón,SI,Mecanizada,NO,6,4709.302326,7,43,87,64000,12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,55,69,0,23,0,0,0,0,0,0,0,0,2,2
841,717,Manual,SI,Otro,Algodón,SI,Manual,NO,1,6273.255814,12,41,86,63000,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,92,0,0,0,0,0,60,0,0,0,0,0,4
1770,1547,Manual,SI,Otro,Maiz,NO,Manual,NO,1.25,3623.255814,4,41,100,59000,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,92,0,0,0,0,0,0,0,0,0,0,0,2
1771,1548,Manual,SI,Otro,Maiz,NO,Manual,NO,1,3767.44186,5,44,104,62000,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,2
1772,1549,Manual,NO,Otro,Maiz,NO,Manual,NO,1,3348.837209,7,37,84,58000,16,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,2
1773,1550,Mecanizado,NO,Otro,Maiz,SI,Manual,NO,3,4238.372093,4,53,76,75000,18,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,103.5,0,0,0,0,0,0,0,0,0,0,0,2
1778,1555,Manual,SI,DK 234 YGRR,Maiz,SI,Manual,NO,3,4825.581395,6,42,87,60000,14,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,34.5,69,0,0,0,0,0,0,0,0,0,0,1,2
1799,1575,Mecanizado,NO,DK 234,Maiz,SI,Mecanizada,NO,4,3813.953488,6,42,83,58000,12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,2
1800,1576,Manual,SI,DK7088,Maiz,NO,Manual,NO,1,3860.465116,7,37,98,62000,15,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,2
2007,1789,Mecanizado,SI,DK7088,Algodón,SI,Mecanizada,NO,15,3051.162791,9,47,87,60000,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,1
2008,1790,Manual,SI,PIONEER 30F35,Algodón,SI,Manual,NO,1.3,1506.976744,4,49,72,62000,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,46,0,0,0,0,0,30,0,0,0,0,0,2
2010,1792,Mecanizado,SI,Otro,Algodón,SI,Mecanizada,NO,9,5720.930233,5,47,78,75000,17,0,0,0,0,0,0,0,0,0,2,2,0,0,0,3,0,0,0,115,0,0,0,0,0,30,0,0,0,0,0,3
2011,1793,Mecanizado,SI,Otro,Algodón,SI,Mecanizada,NO,1.5,5674.418605,5,47,72,75000,17,0,0,1,0,0,0,0,0,0,2,1,0,0,1,3,0,0,9,92,0,23,0,0,30,30,0,0,0,0,2,3
2012,1794,Mecanizado,NO,PAC 105,Algodón,SI,Manual,NO,2,3255.813953,3,49,77,60000,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,2
2013,1796,Mecanizado,SI,DK 234 YGRR,Algodón,SI,Manual,NO,8.4,3813.953488,4,49,75,62000,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,80.5,0,0,0,0,0,30,0,0,0,0,0,3
2014,1797,Mecanizado,NO,PAC 105,Algodón,NO,Manual,NO,1.2,2139.534884,4,47,70,60000,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,3
2015,1798,Mecanizado,SI,Otro,Algodón,SI,Mecanizada,NO,2,5625.581395,5,47,81,75000,17,0,0,1,0,0,0,0,0,0,2,1,0,0,1,3,0,0,9,92,0,23,0,0,30,30,0,0,0,0,2,3
2016,1799,Mecanizado,SI,Otro,Algodón,SI,Mecanizada,NO,3,5547.55814,5,45,82,75500,17,0,0,1,0,0,0,0,0,0,2,1,0,0,1,5,0,0,9,92,0,23,0,0,30,30,0,0,0,0,2,3
2017,1800,Mecanizado,NO,Otro,Algodón,NO,Manual,NO,4.1,1209.302326,1,50,75,60000,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,80.5,0,0,0,0,0,0,0,0,0,0,0,2
2018,1801,Mecanizado,NO,DK 234 YGRR,Algodón,SI,Mecanizada,NO,1.3,5212.209302,4,47,76,62500,12,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,72.25,0,0,0,0,0,67.5,0,0,0,0,0,6
2020,1803,Mecanizado,NO,Otro,Algodón,SI,Manual,NO,3,3858.139535,6,53,66,68000,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,40,0,0,8,0,0,36,0,0,0,0,0,2
2021,1804,Mecanizado,NO,Otro,Algodón,NO,Manual,NO,1,5933.72093,5,53,63,84000,11,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,69.1,0,0,0.3,0,0,30.1,0,0,0,0,0,5
2022,1805,Manual,NO,Otro,Algodón,SI,Manual,NO,1,3174.418605,5,44,76,69500,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,3
2029,1812,Mecanizado,NO,Otro,Algodón,SI,Manual,NO,3,2186.046512,4,47,67,60000,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,92,0,0,0,0,0,60,0,0,0,0,0,4
2030,1814,Mecanizado,NO,PIONEER 30F32HW,,SI,Manual,NO,2.4,5236.046512,6,39,83,58000,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,53.5,0,0,2,0,0,11.5,0,0,0,0,0,2
2031,1815,Mecanizado,SI,Otro,Algodón,SI,Mecanizada,NO,7.4,5180.232558,5,47,74,75000,17,0,0,0,0,0,0,0,0,0,2,2,0,0,0,3,0,0,0,115,0,0,0,0,0,30,0,0,0,0,0,3
